code,units
101297-0,
101298-8,
101299-6,
101300-2,
101301-0,
101302-8,
10130-3,mV
101303-6,
101304-4,
101305-1,
101306-9,
101307-7,
101308-5,
101309-3,mg/dL
101310-1,
10131-1,mV
101311-9,ng/dL
101312-7,ng/dL
101313-5,
101314-3,
101315-0,
101316-8,
101317-6,ng/dL
101318-4,ng/dL
101319-2,
1013-2,
101321-8,
101322-6,
101323-4,
101324-2,
101325-9,
101326-7,
101327-5,
101328-3,
10132-9,mV
101329-1,
101330-9,{#}
101331-7,
101332-5,
101333-3,
101334-1,ng/mg{creat}
101335-8,
101336-6,
10133-7,mV
101337-4,
101338-2,[arb'U]/L
101339-0,
101340-8,
101341-6,[IU]/mL
101342-4,[IU]/mL
101343-2,%
101344-0,
10134-5,mV
101345-7,
101346-5,
101347-3,
101348-1,
101349-9,
101350-7,
101351-5,
10135-2,mV
101352-3,
101353-1,
101354-9,
101355-6,
101356-4,
101357-2,
101358-0,
101359-8,
10136-0,mV
101360-6,
101361-4,
101362-2,
101363-0,
101364-8,
101365-5,
101366-3,
101367-1,
101368-9,
101369-7,
101370-5,
101371-3,
101372-1,
101373-9,
101374-7,
101375-4,ng/dl
101376-2,
101377-0,
10137-8,mV
101378-8,
101379-6,
101380-4,
101381-2,
101382-0,
101383-8,
101384-6,
101385-3,
10138-6,mV
101386-1,
101387-9,
101388-7,
101389-5,
101390-3,
101391-1,
101392-9,
101393-7,
10139-4,
101394-5,
101395-2,
101396-0,
101397-8,
101398-6,
101399-4,
1014-0,
101400-0,
101401-8,
10140-2,
101402-6,
101403-4,
101404-2,
101405-9,
101406-7,
101407-5,[arb'U]/mL
101408-3,
101409-1,
10141-0,mV
101410-9,
101411-7,mg/L
101412-5,mg/L
101413-3,mg/L
101414-1,
101415-8,
101416-6,
101417-4,
101418-2,{score}
101419-0,
101420-8,
101421-6,
101422-4,
101423-2,
101424-0,
101425-7,
101426-5,
101427-3,
10142-8,mV
101428-1,
101429-9,
101430-7,
101431-5,
101432-3,
101433-1,{score}
101434-9,nmol/mL
101435-6,
10143-6,mV
101436-4,
101437-2,
101438-0,
101439-8,
101440-6,
101441-4,
101442-2,{score}
101443-0,ug/L
10144-4,mV
101444-8,
101445-5,
101446-3,mmol/L
101447-1,
101448-9,
101449-7,
101450-5,
10145-1,mV
101451-3,
101452-1,
101453-9,{titer}
101454-7,{titer}
101455-4,
101456-2,{titer}
101457-0,{titer}
101458-8,{titer}
101459-6,{titer}
101460-4,
101461-2,
101462-0,
101463-8,
101464-6,
101465-3,
101466-1,
101467-9,
101468-7,
10146-9,mV
101469-5,
101470-3,
101471-1,
101472-9,
101473-7,
101474-5,
101475-2,umol/L
101476-0,mmol/L
10147-7,mV
101477-8,
101478-6,
101479-4,
101480-2,
101481-0,
101482-8,
101483-6,
101484-4,
10148-5,mV
101485-1,
101486-9,
101487-7,
101488-5,
101489-3,
101490-1,
101491-9,
101492-7,
10149-3,mV
101493-5,
101494-3,
101495-0,
101496-8,
101497-6,
101498-4,
101499-2,
101500-7,
10150-1,mV
101501-5,
101502-3,
101503-1,
101504-9,
101505-6,
101506-4,
101507-2,
101508-0,
101509-8,/mL
101510-6,{Ct_value}
101511-4,{Ct_value}
101512-2,{Ct_value}
101513-0,{Ct_value}
101514-8,{Ct_value}
101515-5,{Ct_value}
101516-3,%
101517-1,
101518-9,
10151-9,
101519-7,{titer}
101520-5,{Ct_value}
101521-3,{ratio}
101522-1,
101523-9,{titer}
101524-7,
101525-4,ug/mL
101526-2,ug/mL
10152-7,
101527-0,
101528-8,
101529-6,
101530-4,{Index_val}
101531-2,{Index_val}
101533-8,%
101534-6,
10153-5,mV
101535-3,
101536-1,
101537-9,
101538-7,
101539-5,
101540-3,%
101541-1,
101542-9,
10154-3,
101543-7,pg/mL
101544-5,{score}
101545-2,
101546-0,
101547-8,
101548-6,
101549-4,
10155-0,
101550-2,{score}
101551-0,
101552-8,
101553-6,
101554-4,
101555-1,
101556-9,
101557-7,
101558-5,
101559-3,
101560-1,
101561-9,
101562-7,
101563-5,
101564-3,[arb'U]/mL
101565-0,
101566-8,
101567-6,
10156-8,
101568-4,
101569-2,
1015-7,
101570-0,%
101571-8,
101572-6,
101573-4,
101574-2,Cel
101575-9,
10157-6,
101576-7,
101577-5,
101578-3,
101579-1,
101580-9,
101581-7,
101582-5,
101583-3,
10158-4,
101584-1,
101585-8,{Ct_value}
101586-6,umol/L
101587-4,
101588-2,
101589-0,ng/mL
101590-8,
101591-6,
10159-2,
101592-4,
101593-2,
101594-0,
101595-7,
101596-5,
101597-3,
101598-1,
101599-9,
101-6,
10160-0,
101600-5,
101601-3,
101602-1,
101603-9,
101604-7,
101605-4,
101606-2,
101607-0,
101608-8,
101609-6,{#}
101610-4,
101611-2,
101612-0,
101613-8,
101614-6,
101615-3,
101616-1,
101617-9,
10161-8,
101618-7,
101619-5,
101620-3,
101621-1,
101622-9,
101623-7,mL
101624-5,
101625-2,
10162-6,
101626-0,
101627-8,
101628-6,
101629-4,
101630-2,
101631-0,
101632-8,
101633-6,
10163-4,
101634-4,
101635-1,
101636-9,
101637-7,
101638-5,
101639-3,
101640-1,
101641-9,
10164-2,
101642-7,
101643-5,{cells}/uL
101644-3,{cells}/uL
101645-0,{cells}/uL
101646-8,
101647-6,
101648-4,ng/mL
101649-2,mg/dL
1016-5,
101650-0,
101651-8,
101652-6,
101653-4,
101654-2,
101655-9,
101656-7,
101657-5,
101658-3,
10165-9,
101659-1,
101660-9,
101661-7,
101662-5,
101663-3,
101664-1,
101665-8,
101666-6,
10166-7,
101667-4,
101668-2,
101669-0,
101670-8,
101671-6,
101672-4,
101673-2,
101674-0,
10167-5,
101675-7,
101676-5,
101677-3,
101678-1,
101679-9,
101680-7,
101681-5,
101682-3,
10168-3,
101683-1,kg
101684-9,%
101685-6,kg
101686-4,%
101687-2,{#}
101688-0,min
101689-8,min
101690-6,min
10169-1,
101691-4,min
101692-2,{beats}/min
101693-0,s;min
101694-8,s;min
101695-5,s;min
101696-3,
101697-1,
101698-9,{score}
101699-7,
101700-3,
101701-1,
101702-9,
101703-7,
101704-5,
101705-2,
101706-0,
101707-8,
101708-6,
10170-9,
101709-4,
101710-2,
101711-0,
101712-8,
101713-6,
101714-4,
101715-1,
101716-9,
10171-7,
101717-7,
101718-5,
101719-3,[IU]/mL
101720-1,
101721-9,
101724-3,ng/mL
10172-5,
101727-6,{Log_IU}/mL
101729-2,[IU]/mL
1017-3,
101731-8,{Log_IU}/mL
101732-6,{Log_IU}/mL
10173-3,
101733-4,[IU]/mL
101734-2,kJ/mol
101735-9,kJ/mol
101736-7,kJ/mol
101738-3,%
101739-1,%
101740-9,%
10174-1,
101741-7,/[HPF]
101742-5,
101743-3,
101744-1,
101745-8,
101746-6,
101747-4,{titer}
101748-2,
101749-0,
101750-8,
101751-6,meq/L
101752-4,%
101753-2,
101754-0,
101755-7,
101756-5,
